Env_ID,WWTPID,StageID,StageID_all_plants,Stage_name,Stage_name_all_plants,Season,Sample_Type,Sample_Description,Location,Region_Site,Collection_Date,Num_Replicates,Env_Notes
MA_TP1_05-21-09_RawInfluent,1,1,1,Raw influent,Raw influent,Spring,1_Influent,Wastewater-raw influent coming into screen house,WWTP1,MA_TP1,21/5/09,NA,NA
MA_TP1_05-21-09_PostScreeningInfluent,1,1,2,Influent post screening,Influent post screening,Spring,2_Influent,Wastewater-influent after screening and grit removal,WWTP1,MA_TP1,21/5/09,NA,NA
MA_TP1_05-21-09_Effluent,1,4,5,Effluent,Effluent,Spring,Effluent,Wastewater-effluent taken from E. coli testing spot,WWTP1,MA_TP1,21/5/09,NA,NA
MA_SI1_05-21-09_HoldingPondInlet,0,0,8,Spray Irrigation Site,At the holding pond inlet at the spray irrigation site,Spring,Pond,Irrigation Water Holding Pond,SI1,MA_SI1,21/5/09,NA,NA
MA_TP1_08-03-09_RawInfluent,1,1,1,Raw influent,Raw influent,Summer,1_Influent,Wastewater-raw influent coming into screen house,WWTP1,MA_TP1,3/8/09,NA,NA
MA_TP1_08-03-09_PostScreeningInfluent,1,1,2,Influent post screening,Influent post screening,Summer,2_Influent,Wastewater-influent after screening and grit removal,WWTP1,MA_TP1,3/8/09,NA,NA
MA_TP1_08-03-09_Effluent,1,4,5,Effluent,Effluent,Summer,Effluent,Wastewater-effluent  taken from E. coli testing spout,WWTP1,MA_TP1,3/8/09,NA,NA
MA_TP1_08-17-09_RawInfluent,1,1,1,Raw influent,Raw influent,Summer,1_Influent,Wastewater-raw influent coming into screen house,WWTP1,MA_TP1,17/8/09,NA,NA
MA_TP1_08-17-09_PostScreeningInfluent,1,1,2,Influent post screening,Influent post screening,Summer,2_Influent,Wastewater-influent after screening and grit removal,WWTP1,MA_TP1,17/8/09,NA,NA
MA_SI1_08-17-09_AfterUVTreatment,0,0,7,Spray Irrigation Site,After UV treatment at spray irrigation site,Summer,After_UV,Spray irrigation water-after ultraviolet treatment,SI1,MA_SI1,17/8/09,NA,NA
MA_SI1_08-17-09_BeforeUVTreatment,0,0,6,Spray Irrigation Site,Before UV treatment at spray irrigation site,Summer,Before_UV,Spray irrigation water-before ultraviolet treatment,SI1,MA_SI1,17/8/09,NA,NA
MA_TP1_08-17-09_Effluent,1,4,5,Effluent,Effluent,Summer,Effluent,Wastewater-effluent taken from E. coli testing spot,WWTP1,MA_TP1,17/8/09,NA,NA
MA_SI1_08-17-09_PumpHouseInlet,0,0,9,Spray Irrigation Site,At the inlet to the pumphouse at spray irrigation site,Summer,Inlet_pumphouse,Spray irrigation-inlet into pumphouse,SI1,MA_SI1,17/8/09,NA,NA
MA_SI1_08-17-09_HoldingPondInlet,0,0,8,Spray Irrigation Site,At the holding pond inlet at the spray irrigation site,Summer,Pond,Spray irrigation water-inlet to holding pond,SI1,MA_SI1,17/8/09,NA,NA
MA_SI1_08-17-09_HoldingPondInlet,0,0,8,Spray Irrigation Site,At the holding pond inlet at the spray irrigation site,Summer,Pond,Spray irrigation water-inlet to holding pond,SI1,MA_SI1,17/8/09,NA,NA
MA_TP1_10-22-09_RawInfluent,1,1,1,Raw influent,Raw influent,Fall,1_Influent,Wastewater-raw influent coming into screen house,WWTP1,MA_TP1,22/10/09,NA,NA
MA_TP1_10-22-09_SecondaryClarifier,1,3,4,Secondary clarifier,Secondary clarifier,Fall,2_Clar,Wastewater-secondary clarifier sample taken from bridge,WWTP1,MA_TP1,22/10/09,NA,NA
MA_TP1_10-22-09_ActivatedSludgeReactor,1,2,3,Activated Sludge Reactor,Activated Sludge Reactor,Fall,ASR,Wastewater-activated sludge reactor sample,WWTP1,MA_TP1,22/10/09,NA,NA
MA_TP1_10-22-09_Effluent,1,4,5,Effluent,Effluent,Fall,Effluent,Wastewater-effluent-taken from E. coli testing spot,WWTP1,MA_TP1,22/10/09,NA,NA
MA_SI1_10-27-09_AfterUVTreatment,0,0,7,Spray Irrigation Site,After UV treatment at spray irrigation site,Fall,After_UV,Spray irrigation water-after ultraviolet treatment,SI1,MA_SI1,27/10/09,NA,NA
MA_SI1_10-27-09_BeforeUVTreatment,0,0,6,Spray Irrigation Site,Before UV treatment at spray irrigation site,Fall,Before_UV,Spray irrigation water-before ultraviolet treatment,SI1,MA_SI1,27/10/09,NA,NA
MA_SI1_10-27-09_PumpHouseInlet,0,0,9,Spray Irrigation Site,At the inlet to the pumphouse at spray irrigation site,Fall,Inlet_pumphouse,Spray irrigation water-inlet to pumphouse for spray heads,SI1,MA_SI1,27/10/09,NA,NA
MA_SI1_10-27-09_HoldingPondInlet,0,0,8,Spray Irrigation Site,At the holding pond inlet at the spray irrigation site,Fall,Pond,Spray irrigation water-inlet to holding pond,SI1,MA_SI1,27/10/09,NA,NA
MA_TP1_12-08-09_RawInfluent,1,1,1,Raw influent,Raw influent,Fall,1_Influent,Wastewater-raw influent coming into screen house,WWTP1,MA_TP1,8/12/09,NA,NA
MA_TP1_12-08-09_SecondaryClarifier,1,3,4,Secondary clarifier,Secondary clarifier,Fall,2_Clar,Wastewater-secondary clarifier sample taken from bridge,WWTP1,MA_TP1,8/12/09,NA,NA
MA_TP1_12-08-09_ActivatedSludgeReactor,1,2,3,Activated Sludge Reactor,Activated Sludge Reactor,Fall,ASR,Wastewater-activated sludge reactor sample,WWTP1,MA_TP1,8/12/09,NA,NA
UNK_UNK_12-08-09_Effluent,1,4,5,Effluent,Effluent,Fall,Effluent,999,999,999,8/12/09,NA,NA
MA_TP1_12-08-09_Effluent,1,4,5,Effluent,Effluent,Fall,Effluent,Wastewater-effluent-taken from E. coli testing spot,WWTP1,MA_TP1,8/12/09,NA,NA
MA_SI1_06-22-10_AfterUVTreatment,0,0,7,Spray Irrigation Site,After UV treatment at spray irrigation site,Summer,After_UV,Spray irrigation water-after ultraviolet treatment,SI1,MA_SI1,22/6/10,2,NA
MA_SI1_06-22-10_BeforeUVTreatment,0,0,6,Spray Irrigation Site,Before UV treatment at spray irrigation site,Summer,Before_UV,Spray irrigation water-before ultraviolet treatment,SI1,MA_SI1,22/6/10,2,NA
