U_ID,Seq_ID,Env_ID
AB_1002,WW.1Inf.Inf100,MA_TP1_05-21-10_RawInfluent
AC_1003,WW.2Inf.WW1D,MA_TP1_05-21-10_RawInfluent
AG_1007,WW.B.SA.dil,NA
AH_1008,WW.BP.Eff.4,NA
AI_1009,WW.CC.Qiagen.SA,NA
AL_1012,WW.F,NA
AM_1013,WW.H2O,NA
AN_1014,WW.H2O.1,NA
AO_1015,WW.H2O.10,NA
AP_1016,WW.H2O.11,NA
AQ_1017,WW.H2O.12,NA
AR_1018,WW.H2O.13,NA
AS_1019,WW.H2O.14,NA
AT_1020,WW.H2O.15,NA
AU_1021,WW.H2O.16,NA
AV_1022,WW.H2O.17,NA
AW_1023,WW.H2O.18,NA
AX_1024,WW.H2O.2,NA
AY_1025,WW.H2O.3,NA
AZ_1026,WW.H2O.4,NA
BA_1027,WW.H2O.5,NA
BB_1028,WW.H2O.6,NA
BC_1029,WW.H2O.7,NA
BD_1030,WW.H2O.8,NA
BE_1031,WW.H2O.9,NA
BF_1032,WW.H2O.D,NA
CL_1064,WW.Negative,NA
CM_1065,WW.PBS,NA
BY_1051,WW.NE2.GC2.Hose.7.10.69,MW_SI2_07-10-10_GolfCourseHose
AA_1001,WW.1Inf.1,MA_TP1_05-21-10_RawInfluent
AD_1004,WW.2Inf.WW1F,MA_TP1_05-21-09_PostScreeningInfluent
AE_1005,WW.Aug3.1Inf.7,MA_TP1_08-03-09_RawInfluent
AF_1006,WW.Aug3.2Inf.8,MA_TP1_08-03-09_PostScreeningInfluent
EN_1118,WW.Aug3.Effluent.9,MA_TP1_08-03-09_Effluent
FE_1135,WW.Dec09.EFF3.92,UNK_UNK_12-08-09_Effluent
AJ_1010,WW.Dec09.Eff6.91,UNK_UNK_12-08-09_Effluent
AK_1011,WW.Eff.2,MA_TP1_05-21-09_Effluent
BI_1035,WW.NE1.GC1.9.10.Pond.78combo,MW_SI1_09-01-10_GolfCoursePond
BS_1045,WW.NE1.WW1.9.10.Eff.77combo,MW_TP1_09-01-10_Effluent
BG_1033,WW.NE1.GC.Pond.7.10.65,MW_SI1_07-03-10_GolfCoursePond
BH_1034,WW.NE1.GC1.10.10.Pond.86,MW_SI1_10-01-10_GolfCoursePond
BJ_1036,WW.NE1.WW.2C.7.10.63,MW_TP1_07-03-10_SecondaryClarifier
BK_1037,WW.NE1.WW.Eff.7.10.64,MW_TP1_07-03-10_Effluent
BL_1038,WW.NE1.WW.Inf.7.10.61,MW_TP1_07-03-10_Influent
BM_1039,WW.NE1.WW.PA.7.10.62.1A,MW_TP1_07-03-10_PostAeration
BN_1040,WW.NE1.WW.PA.7.10.62.1B,MW_TP1_07-03-10_PostAeration
EY_1129,WW.NE1.WW.PA.7.10.62.2,MW_TP1_07-03-10_PostAeration
BO_1041,WW.NE1.WW1.10.10.Eff.85,MW_TP1_10-01-10_Effluent
BP_1042,WW.NE1.WW1.10.10.Inf.82,MW_TP1_10-01-10_Influent
BQ_1043,WW.NE1.WW1.10.10.PA.83,MW_TP1_10-01-10_PostAeration
BR_1044,WW.NE1.WW1.10.10.Sec.84,MW_TP1_10-01-10_SecondaryClarifier
BT_1046,WW.NE1.WW1.9.10.Inf.Inf75dil,MW_TP1_09-01-10_Influent
FA_1131,WW.NE1.WW1.9.10.Inf.Inf75,MW_TP1_09-01-10_Influent
BU_1047,WW.NE1.WW1.9.10.Post.76,MW_TP1_09-01-10_PostAeration
