Clean_ID,Env_ID,U_ID,Seq_ID,Sample_ID
MA_TP1_05-21-09_RawInfluent,WW_1Inf_1,AB_1002,WW.1Inf.Inf100,NA
MA_TP1_05-21-09_RawInfluent,WW_1Inf_1,AC_1003,WW.2Inf.WW1D,NA
NA,NA,AG_1007,WW.B.SA.dil,NA
NA,NA,AH_1008,WW.BP.Eff.4,NA
NA,NA,AI_1009,WW.CC.Qiagen.SA,NA
NA,NA,AL_1012,WW.F,NA
NA,NA,AM_1013,WW.H2O,NA
NA,NA,AN_1014,WW.H2O.1,NA
NA,NA,AO_1015,WW.H2O.10,NA
NA,NA,AP_1016,WW.H2O.11,NA
NA,NA,AQ_1017,WW.H2O.12,NA
NA,NA,AR_1018,WW.H2O.13,NA
NA,NA,AS_1019,WW.H2O.14,NA
NA,NA,AT_1020,WW.H2O.15,NA
NA,NA,AU_1021,WW.H2O.16,NA
NA,NA,AV_1022,WW.H2O.17,NA
NA,NA,AW_1023,WW.H2O.18,NA
NA,NA,AX_1024,WW.H2O.2,NA
NA,NA,AY_1025,WW.H2O.3,NA
NA,NA,AZ_1026,WW.H2O.4,NA
NA,NA,BA_1027,WW.H2O.5,NA
NA,NA,BB_1028,WW.H2O.6,NA
NA,NA,BC_1029,WW.H2O.7,NA
NA,NA,BD_1030,WW.H2O.8,NA
NA,NA,BE_1031,WW.H2O.9,NA
NA,NA,BF_1032,WW.H2O.D,NA
NA,NA,CL_1064,WW.Negative,NA
NA,NA,CM_1065,WW.PBS,NA
MW_SI2_07-10-10_GolfCourseHose,WW_ NE2-GC2-Hose-7-10_69,BY_1051,WW.NE2.GC2.Hose.7.10.69,WW_ NE2-GC2-Hose-7-10_69
MA_TP1_05-21-09_RawInfluent,WW_1Inf_1,AA_1001,WW.1Inf.1,WW_1Inf_1
MA_TP1_05-21-09_PostScreeningInfluent,WW_2Inf_WW1F,AD_1004,WW.2Inf.WW1F,WW_2Inf_WW1F
MA_TP1_08-03-09_RawInfluent,WW_Aug3_1Inf_7,AE_1005,WW.Aug3.1Inf.7,WW_Aug3_1Inf_7
MA_TP1_08-03-09_PostScreeningInfluent,WW_Aug3_2Inf_8,AF_1006,WW.Aug3.2Inf.8,WW_Aug3_2Inf_8
MA_TP1_08-03-09_Effluent,WW_Aug3_Effluent_9,EN_1118,WW.Aug3.Effluent.9,WW_Aug3_Effluent_9
UNK_UNK_12-08-09_Effluent,WW_Dec09-EFF3_92,FE_1135,WW.Dec09.EFF3.92,WW_Dec09-EFF3_92
UNK_UNK_12-08-09_Effluent,WW_Dec09-Eff6_91,AJ_1010,WW.Dec09.Eff6.91,WW_Dec09-Eff6_91
MA_TP1_05-21-09_Effluent,WW_Eff_2,AK_1011,WW.Eff.2,WW_Eff_2
MW_SI1_09-01-10_GolfCoursePond,WW_NE1_GC1_9_10_Pond_78,BI_1035,WW.NE1.GC1.9.10.Pond.78combo,WW_NE1_GC1_9_10_Pond_78combo
MW_TP1_09-01-10_Effluent,WW_NE1_WW1_9_10_Eff_77,BS_1045,WW.NE1.WW1.9.10.Eff.77combo,WW_NE1_WW1_9_10_Eff_77combo
